"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
1513.50321981869,2448.06867321398,1690752.70670525,100,5,5,0.5,0.5,0,1
2034.18271241878,2838.33420608702,2438969.57108245,100,5,5,0.5,0.5,0,1
2387.35762202675,2877.18315710343,2575630.56250491,100,5,5,0.5,0.5,0,1
1642.45545391653,2581.65258304767,2157517.038765,100,5,5,0.5,0.5,0,1
719.886388109907,2197.31396778273,1475698.12791177,100,5,5,0.5,0.5,0,1
1661.93804329307,2517.83542093856,1791634.76690624,100,5,5,0.5,0.5,0,1
4807.63335635909,2260.51865171752,1400979.43938094,100,5,5,0.5,0.5,0,1
3227.84274304734,2389.06893419655,1828187.22915422,100,5,5,0.5,0.5,0,1
2403.07525862772,2684.03509007689,2099923.4953829,100,5,5,0.5,0.5,0,1
2349.00398696204,2309.55051288229,1289451.76984895,100,5,5,0.5,0.5,0,1
1215.06981198342,2558.1448765423,2199303.63654319,100,5,5,0.5,0.5,0,1
2062.19475256629,2285.30887970512,1543888.52807851,100,5,5,0.5,0.5,0,1
2742.65168235993,2469.10593138154,1898729.90200377,100,5,5,0.5,0.5,0,1
1473.25302374841,2619.93993407764,2544309.14309152,100,5,5,0.5,0.5,0,1
4211.37067665513,2828.85183539682,2702790.63739115,100,5,5,0.5,0.5,0,1
2088.63771667341,2307.53761720674,1602297.81023806,100,5,5,0.5,0.5,0,1
2521.37515101683,2845.03355880269,2786446.25973151,100,5,5,0.5,0.5,0,1
3139.86741687891,2378.63270874143,1643598.22935311,100,5,5,0.5,0.5,0,1
3732.14657852202,2894.76486121292,2704802.52103121,100,5,5,0.5,0.5,0,1
1597.2296354682,2145.68924184111,1278434.61587833,100,5,5,0.5,0.5,0,1
2673.42561429731,2418.65423593328,1927343.09948107,100,5,5,0.5,0.5,0,1
2288.0594770475,2536.25975915805,1889799.4124871,100,5,5,0.5,0.5,0,1
3407.53723223763,2603.67572374501,2166873.63682035,100,5,5,0.5,0.5,0,1
2318.70264256646,2552.04671298835,2071248.3886474,100,5,5,0.5,0.5,0,1
3005.81769903172,2515.9381754613,1915407.41649936,100,5,5,0.5,0.5,0,1
1877.80609500228,2879.90767922345,3053011.20100752,100,5,5,0.5,0.5,0,1
2649.27873488088,2455.02648403139,2056922.49957251,100,5,5,0.5,0.5,0,1
2487.65585345415,2601.81713241,2129397.61316361,100,5,5,0.5,0.5,0,1
2191.62316765553,2291.98435947324,1374170.29733415,100,5,5,0.5,0.5,0,1
1556.04513920555,2773.9716244066,2427451.97071819,100,5,5,0.5,0.5,0,1
2694.91617574989,2528.56354794126,2364411.03778226,100,5,5,0.5,0.5,0,1
1169.87063918738,1994.92822274827,1078767.01023373,100,5,5,0.5,0.5,0,1
2187.19436224489,2193.10401591244,1232423.85137442,100,5,5,0.5,0.5,0,1
2994.16404006466,2487.07558391213,1831881.38723451,100,5,5,0.5,0.5,0,1
2439.06593060899,2104.21405867668,1100294.15072066,100,5,5,0.5,0.5,0,1
2956.66942153319,2445.91052080825,1592400.016451,100,5,5,0.5,0.5,0,1
1967.03138687128,2121.66426873458,1135206.54665104,100,5,5,0.5,0.5,0,1
2590.78634344913,2167.79848128458,1361898.32487387,100,5,5,0.5,0.5,0,1
2226.82127809849,2773.82129039246,2561296.03749149,100,5,5,0.5,0.5,0,1
1677.17516151895,2362.74385426174,1728764.35292268,100,5,5,0.5,0.5,0,1
762.142046877233,2501.03284598315,1960393.94920711,100,5,5,0.5,0.5,0,1
3661.55213030173,2529.74924669558,2116428.50088934,100,5,5,0.5,0.5,0,1
2008.63372042703,1869.44208331441,907463.761635201,100,5,5,0.5,0.5,0,1
6296.04131225735,2432.65322956002,1881498.58770875,100,5,5,0.5,0.5,0,1
8190.94158550138,3039.96591112708,2974795.8954934,100,5,5,0.5,0.5,0,1
1168.8098105963,2604.93930278068,2082456.62604714,100,5,5,0.5,0.5,0,1
1376.4398482444,2607.07491392647,2368974.49613318,100,5,5,0.5,0.5,0,1
2301.95930914003,2272.4004725307,1346967.25742804,100,5,5,0.5,0.5,0,1
2568.26635840531,3173.82296591329,3919180.29196828,100,5,5,0.5,0.5,0,1
1195.32589730321,2899.24714903073,2556427.66946064,100,5,5,0.5,0.5,0,1
1816.37653699446,2754.74781377041,2660086.35113601,100,5,5,0.5,0.5,0,1
3182.74864216139,2226.31593696577,1372072.25301202,100,5,5,0.5,0.5,0,1
1446.84299597358,2505.63841201479,2085796.65287409,100,5,5,0.5,0.5,0,1
2714.58286541756,2321.79205290733,1469011.30073636,100,5,5,0.5,0.5,0,1
2300.59779852152,2541.06651632782,2113162.13285772,100,5,5,0.5,0.5,0,1
2034.9527983262,2482.86974203693,1604982.89619823,100,5,5,0.5,0.5,0,1
1339.95839643048,2630.28064647955,2229538.94223556,100,5,5,0.5,0.5,0,1
2043.74140031709,2270.76807062871,1579488.68115655,100,5,5,0.5,0.5,0,1
1619.1646937329,2179.68403065322,1241310.51306457,100,5,5,0.5,0.5,0,1
1849.69271209884,2227.84408383917,1528345.6582301,100,5,5,0.5,0.5,0,1
1520.63127811721,2573.14257645456,2235672.79008404,100,5,5,0.5,0.5,0,1
2007.4759009578,2206.84505748142,1503437.07160616,100,5,5,0.5,0.5,0,1
3061.91005318768,2084.25738304331,1139297.25620154,100,5,5,0.5,0.5,0,1
3400.70161364963,2741.54322751477,2401202.92533092,100,5,5,0.5,0.5,0,1
2474.71346877972,2408.1301065958,1772146.22156484,100,5,5,0.5,0.5,0,1
3831.74051045137,2712.19448818786,2253763.3811174,100,5,5,0.5,0.5,0,1
2836.83875650361,2372.49130246945,1805274.48498848,100,5,5,0.5,0.5,0,1
1964.87037316349,3126.52667878517,4019334.6046127,100,5,5,0.5,0.5,0,1
3938.04941026882,2521.11014567555,2095180.67828526,100,5,5,0.5,0.5,0,1
5137.3860301455,2317.4949219725,1847778.48655253,100,5,5,0.5,0.5,0,1
2185.54779384797,2389.11266150308,1471811.8535033,100,5,5,0.5,0.5,0,1
1958.77761678535,2532.2544251772,2026493.22346659,100,5,5,0.5,0.5,0,1
2127.64733908185,2342.38688767666,1419712.50090916,100,5,5,0.5,0.5,0,1
5724.81665333777,2792.09971147266,2726285.91587556,100,5,5,0.5,0.5,0,1
4187.40530858821,2092.40181490815,1214375.79830523,100,5,5,0.5,0.5,0,1
2854.92736001109,2406.95141883416,1752818.6821489,100,5,5,0.5,0.5,0,1
915.050960515332,2443.8760526311,1984309.72788685,100,5,5,0.5,0.5,0,1
4001.03061223417,2406.24991943752,1517722.37719571,100,5,5,0.5,0.5,0,1
2116.36409930853,2372.26014938128,1893193.11793621,100,5,5,0.5,0.5,0,1
939.935864194741,2386.26288167678,1814141.6793098,100,5,5,0.5,0.5,0,1
997.263076625172,2014.49214262149,1185327.91261434,100,5,5,0.5,0.5,0,1
1693.11374818647,2283.81424943195,1584674.39922119,100,5,5,0.5,0.5,0,1
1653.49805666499,2333.97635390706,1511216.56364296,100,5,5,0.5,0.5,0,1
1316.27625753271,3022.50356042555,3110389.21697054,100,5,5,0.5,0.5,0,1
1629.2491355988,3339.41483611982,4288588.67179697,100,5,5,0.5,0.5,0,1
3442.88959547084,1975.41124539498,946710.318659505,100,5,5,0.5,0.5,0,1
1611.89053444684,2412.21218674665,1514088.36551619,100,5,5,0.5,0.5,0,1
3291.04238060821,2472.21420772896,2068900.03316887,100,5,5,0.5,0.5,0,1
1474.87843550609,2173.932300678,1384421.36711096,100,5,5,0.5,0.5,0,1
612.04920633765,2368.9459144918,1535813.40358791,100,5,5,0.5,0.5,0,1
2766.0439906704,2447.26519439672,1677240.35825235,100,5,5,0.5,0.5,0,1
1184.52538005697,2411.80554676595,1817248.51315362,100,5,5,0.5,0.5,0,1
2227.29721618711,1989.54527822537,1235637.45400003,100,5,5,0.5,0.5,0,1
2895.57278348544,2996.31363712285,3331542.12414035,100,5,5,0.5,0.5,0,1
1756.48178483336,2663.89766124372,2458667.08522236,100,5,5,0.5,0.5,0,1
2457.99457298441,2138.14682680319,1169192.21609466,100,5,5,0.5,0.5,0,1
3318.04141956655,2765.03216601271,2986801.97262914,100,5,5,0.5,0.5,0,1
