"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
2214.76716754507,2286.05221215685,423654.820782382,100,5,5,0,0,0,1
2726.70905873767,2359.02424506307,437301.93276829,100,5,5,0,0,0,1
2686.13728939975,2706.36024947755,574441.519622002,100,5,5,0,0,0,1
2845.75183818012,2200.71487777877,385779.752367837,100,5,5,0,0,0,1
2226.58938195701,2530.5775427655,505129.978058493,100,5,5,0,0,0,1
1523.71011269949,2501.02307251061,493226.346540918,100,5,5,0,0,0,1
2040.05704563314,2400.41011133857,460416.645379247,100,5,5,0,0,0,1
2902.45519195715,2787.08478278159,592252.327946461,100,5,5,0,0,0,1
2474.89000304783,2422.53223846832,474383.116032935,100,5,5,0,0,0,1
2272.58782371242,2146.23196467822,376187.75927916,100,5,5,0,0,0,1
3461.12839500014,2742.65800843463,594074.319061977,100,5,5,0,0,0,1
1671.45744609352,2456.33606262744,499186.795323043,100,5,5,0,0,0,1
2431.03849083837,1955.63221757529,300029.956850139,100,5,5,0,0,0,1
1918.73928510979,2626.136628099,552221.304534485,100,5,5,0,0,0,1
3926.06445288473,3032.60448946706,741567.061894397,100,5,5,0,0,0,1
3347.06713273912,2726.36790816074,567938.372964397,100,5,5,0,0,0,1
4260.54478736699,2463.89305953522,478314.132829057,100,5,5,0,0,0,1
3961.04163460655,2252.16731191839,410433.810394004,100,5,5,0,0,0,1
3545.47687660786,2506.70896174086,477753.844201016,100,5,5,0,0,0,1
2378.96145716299,2051.28651368447,333312.318754414,100,5,5,0,0,0,1
1335.86808408725,2400.51455042236,467656.605412094,100,5,5,0,0,0,1
2043.81050577966,2526.94436640031,522535.617210709,100,5,5,0,0,0,1
3288.48266536146,2521.51952603094,505049.633851265,100,5,5,0,0,0,1
1970.23290409451,2450.75477373595,474356.548224501,100,5,5,0,0,0,1
2732.51825124611,2610.96461032267,590441.36954662,100,5,5,0,0,0,1
3011.92977927018,2678.99386398353,579469.060867924,100,5,5,0,0,0,1
2753.73134802337,2391.66036567633,440686.119077403,100,5,5,0,0,0,1
4261.13974926364,2650.46598076978,573473.596079577,100,5,5,0,0,0,1
2586.35834513219,2377.56120411248,451363.560961307,100,5,5,0,0,0,1
4468.38887187589,2746.81283879954,592533.97793387,100,5,5,0,0,0,1
1608.32241630003,2478.00933329248,478168.432550186,100,5,5,0,0,0,1
4452.34326365047,2572.11043446401,533556.725245854,100,5,5,0,0,0,1
1787.28031920748,2349.73425411828,423879.306262288,100,5,5,0,0,0,1
4244.86092030045,2564.80757812059,542630.713836956,100,5,5,0,0,0,1
3053.85546680791,2337.47304389695,431315.719979599,100,5,5,0,0,0,1
4195.16582553933,2442.67514390393,468774.417297344,100,5,5,0,0,0,1
3473.20263206715,2712.78590098329,588435.342617046,100,5,5,0,0,0,1
1815.69363354927,2651.81051210709,544718.646849296,100,5,5,0,0,0,1
918.996329736374,2267.12882580026,432511.099081291,100,5,5,0,0,0,1
1229.35067877821,2398.02068401912,433336.758160009,100,5,5,0,0,0,1
1375.45139006124,2275.93711350998,409181.954948632,100,5,5,0,0,0,1
2916.97246894458,2436.75444362248,471932.731632294,100,5,5,0,0,0,1
2239.41472721123,2325.28622078861,430172.811321318,100,5,5,0,0,0,1
2029.99184578782,2384.79630368997,457415.39155539,100,5,5,0,0,0,1
4429.99272039102,2457.17925235944,483850.728478232,100,5,5,0,0,0,1
3897.7914277275,3057.17874953826,743572.184885016,100,5,5,0,0,0,1
3327.85490234042,2821.83611306732,632780.105968267,100,5,5,0,0,0,1
2271.21738331874,2539.61138692029,506024.801959613,100,5,5,0,0,0,1
2001.55001676321,2290.94805423519,428581.610102214,100,5,5,0,0,0,1
2577.36398392041,2476.96314754678,497565.32920895,100,5,5,0,0,0,1
2688.15069654232,2078.48235542955,352449.871172592,100,5,5,0,0,0,1
2989.16727699051,2421.69204950395,471385.086512366,100,5,5,0,0,0,1
2806.03449485292,2268.76164716853,420723.357177058,100,5,5,0,0,0,1
3488.64422528877,2925.95222706048,707844.548313828,100,5,5,0,0,0,1
1203.03814976481,2688.07399051871,604460.721626061,100,5,5,0,0,0,1
1961.72795674549,2653.06606772687,546479.17346239,100,5,5,0,0,0,1
3144.17841132932,2535.03846606268,503279.635865503,100,5,5,0,0,0,1
2170.40656187066,2237.17447910224,412561.467136805,100,5,5,0,0,0,1
2533.71421124599,2556.1463848935,530699.501089548,100,5,5,0,0,0,1
2827.96211644488,2561.90961326921,519076.625145503,100,5,5,0,0,0,1
3198.83194566401,2297.4024070228,437273.377613237,100,5,5,0,0,0,1
1789.46313230388,2537.49517206223,527850.843621261,100,5,5,0,0,0,1
1811.90424013449,2106.4188177407,356622.426223969,100,5,5,0,0,0,1
4017.87901187834,2499.56726672591,482805.738419595,100,5,5,0,0,0,1
1421.15027619898,2215.37266588985,395650.008519511,100,5,5,0,0,0,1
1916.30751861816,2512.64770723348,508547.700765356,100,5,5,0,0,0,1
2264.924143643,2301.72958527672,446262.516113383,100,5,5,0,0,0,1
2937.11655383288,2442.43311486568,488389.887449929,100,5,5,0,0,0,1
2298.54382639886,2784.8132714015,653606.063813122,100,5,5,0,0,0,1
2019.11002589141,2181.19398352176,374626.199784084,100,5,5,0,0,0,1
2412.97673991084,2386.62588866541,439675.789552627,100,5,5,0,0,0,1
3448.07994226798,2536.22764044087,504747.50807463,100,5,5,0,0,0,1
2329.63970228283,2253.94206784189,404838.691766299,100,5,5,0,0,0,1
1440.60811526538,2078.60136056219,364223.302696723,100,5,5,0,0,0,1
2066.30843423815,2364.7210852107,439877.399667524,100,5,5,0,0,0,1
2296.39735315923,2475.66880058652,479144.137557494,100,5,5,0,0,0,1
1937.56966646664,2430.41890557242,460666.233659684,100,5,5,0,0,0,1
2368.39100784924,2398.42532166923,459268.191281855,100,5,5,0,0,0,1
