"C_XY","E_C_XY","Var_C_XY","n","p1","p2","m_A","sd_A","sd_E"
1769.85131871661,2492.76403525218,477561.166325966,100,5,5,0,0,1
3091.51363614945,2721.2288778349,607674.27715833,100,5,5,0,0,1
2475.31160034354,2413.24430899182,465637.080968502,100,5,5,0,0,1
3044.70359366257,2682.68775296144,557259.826408874,100,5,5,0,0,1
2052.81067032374,2328.51604985779,449582.280041174,100,5,5,0,0,1
2726.99127322267,2664.80967715405,577397.860053306,100,5,5,0,0,1
2188.68933929129,2418.78938299882,446979.766483151,100,5,5,0,0,1
2210.00497465829,2099.31556620562,365974.429047856,100,5,5,0,0,1
1955.97196532847,2582.25154953328,538338.638992352,100,5,5,0,0,1
1747.46549539163,2285.09640878763,417489.150000323,100,5,5,0,0,1
2464.61146556646,2792.27454237206,636494.54760821,100,5,5,0,0,1
3287.71318328479,2450.40687738038,472116.055830201,100,5,5,0,0,1
2533.51307081814,2638.07428049834,555999.987803553,100,5,5,0,0,1
2736.02029726875,2517.51389865096,493596.59601341,100,5,5,0,0,1
3242.12465065757,2452.38959837837,504478.257525652,100,5,5,0,0,1
2234.72229894239,1960.40400524829,305584.892968927,100,5,5,0,0,1
1292.87052651568,2526.4342242037,496146.39250619,100,5,5,0,0,1
3308.36437810223,2282.00986171955,411533.50473812,100,5,5,0,0,1
2186.74265145554,2437.44419950335,494666.779300522,100,5,5,0,0,1
2354.63502761447,2125.3776459293,373869.715124861,100,5,5,0,0,1
2846.55727688982,2678.47220767939,575304.072477231,100,5,5,0,0,1
1456.30509655042,2432.08209008922,453547.784623475,100,5,5,0,0,1
2730.73040107852,2669.67836097887,559377.666905074,100,5,5,0,0,1
2237.93161254161,2733.65979351576,597978.072973884,100,5,5,0,0,1
2176.94498751549,2595.97873604461,533824.541152473,100,5,5,0,0,1
1691.72686806007,1990.00615793383,312946.78832391,100,5,5,0,0,1
2874.34934016115,2675.25899317466,564852.107683102,100,5,5,0,0,1
3024.98715564037,2583.37394208152,556050.551364757,100,5,5,0,0,1
3105.94336321113,2475.62997874549,471617.076411233,100,5,5,0,0,1
