"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
2720.8990336769,2193.65972024993,586752.536049396,100,5,5,0.3,0.3,0,1
2963.09263823048,2467.69858463862,907953.1550394,100,5,5,0.3,0.3,0,1
5619.23496741076,2697.51836947493,1122039.80434664,100,5,5,0.3,0.3,0,1
3923.9880863212,2351.29661586322,805700.738979339,100,5,5,0.3,0.3,0,1
1307.43124831364,2624.5873485198,989940.768219787,100,5,5,0.3,0.3,0,1
2858.19334388505,2427.21778166118,763913.392239187,100,5,5,0.3,0.3,0,1
3206.40728271325,2441.45910633787,838884.25934165,100,5,5,0.3,0.3,0,1
3513.3669948127,2825.63813852824,1140086.29489971,100,5,5,0.3,0.3,0,1
1828.23116150158,2255.64685113415,603794.923142775,100,5,5,0.3,0.3,0,1
2858.76305232169,2379.41561227562,827343.669205501,100,5,5,0.3,0.3,0,1
3871.11734258278,3152.79360050578,1926757.54491409,100,5,5,0.3,0.3,0,1
2753.67665869837,2176.32636398753,753868.631273414,100,5,5,0.3,0.3,0,1
2353.06857165723,2486.40171574529,931022.033386062,100,5,5,0.3,0.3,0,1
2120.30085474788,2028.95742958156,495224.578936833,100,5,5,0.3,0.3,0,1
2283.83711089078,2434.33371108247,901985.446680276,100,5,5,0.3,0.3,0,1
2291.65551480636,2475.0287658894,827437.164964026,100,5,5,0.3,0.3,0,1
1922.76817409992,2674.76279095258,1187384.39685827,100,5,5,0.3,0.3,0,1
2702.75257729118,2312.54551883275,801080.305426259,100,5,5,0.3,0.3,0,1
2918.39130117648,2877.88462028077,1454015.37080665,100,5,5,0.3,0.3,0,1
2008.24603794056,2206.79140935432,674173.610425515,100,5,5,0.3,0.3,0,1
2053.72639748777,2487.19009391917,912353.92327205,100,5,5,0.3,0.3,0,1
4033.92812346467,2647.05970297999,1175046.55017704,100,5,5,0.3,0.3,0,1
2606.04520036208,2705.6613212587,960858.405439915,100,5,5,0.3,0.3,0,1
1616.56265624177,2370.4032054264,731360.39836919,100,5,5,0.3,0.3,0,1
1804.56678260966,2634.59063551007,952260.649985977,100,5,5,0.3,0.3,0,1
1371.20608289801,2462.81755045554,771123.867315845,100,5,5,0.3,0.3,0,1
2973.93190306989,2525.8350038282,1030389.42510866,100,5,5,0.3,0.3,0,1
