"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
2817.82804879549,2355.67933381395,446021.623078104,100,5,5,0,0,0,1
1931.63945533825,2227.54715137014,388822.043294284,100,5,5,0,0,0,1
1424.73558497505,2386.68376082707,453009.145247315,100,5,5,0,0,0,1
1914.68333108037,2246.7992236109,410977.958460621,100,5,5,0,0,0,1
1665.24624627848,2386.71653843549,466902.149119607,100,5,5,0,0,0,1
1925.39380141716,2401.08804844477,471782.651988722,100,5,5,0,0,0,1
2076.53496058975,2690.78547686915,588919.131483904,100,5,5,0,0,0,1
2122.94596091884,2490.42267953471,483242.383765002,100,5,5,0,0,0,1
2723.15491048657,2465.26672445397,483371.96728538,100,5,5,0,0,0,1
3029.30171790344,2300.78644605911,415031.723592926,100,5,5,0,0,0,1
3570.35288873197,2484.37579736798,491025.777539805,100,5,5,0,0,0,1
2271.03454166389,2611.04210489917,545986.573484687,100,5,5,0,0,0,1
2906.02522726796,2618.36056692351,543534.416477206,100,5,5,0,0,0,1
2935.73753041229,2617.53734729397,543695.004147248,100,5,5,0,0,0,1
3115.12012395837,2498.70721830909,499717.458526801,100,5,5,0,0,0,1
3901.56703570182,2694.72447537562,567086.929702294,100,5,5,0,0,0,1
1841.05078971903,2877.13027634302,650991.06089752,100,5,5,0,0,0,1
1573.185879766,2361.0146591522,446535.914942368,100,5,5,0,0,0,1
1614.56664244679,1980.01342310064,323763.402835048,100,5,5,0,0,0,1
1449.4210990649,2233.46168822444,398812.81370116,100,5,5,0,0,0,1
1609.04760912359,2086.07692478621,343816.855665091,100,5,5,0,0,0,1
3814.54559517286,2562.77209007646,544071.080144371,100,5,5,0,0,0,1
2978.46924205274,2693.35190744821,580201.958072417,100,5,5,0,0,0,1
1672.46253231772,2373.08457154705,464207.590632594,100,5,5,0,0,0,1
2544.70029318214,2795.28815420385,631077.603123346,100,5,5,0,0,0,1
3456.20036563925,2694.75917611275,572930.24779818,100,5,5,0,0,0,1
4045.18805352109,2440.07655748507,506045.045511526,100,5,5,0,0,0,1
1354.01439782934,2241.89441096464,389332.338466771,100,5,5,0,0,0,1
1704.38313976535,2307.06095853089,418263.492900312,100,5,5,0,0,0,1
2635.7502595495,2929.91081338923,688532.275880627,100,5,5,0,0,0,1
1681.3350885965,2544.54116523251,538822.975455276,100,5,5,0,0,0,1
1640.25651947101,2618.62804698563,540968.589661992,100,5,5,0,0,0,1
1803.53198461383,2556.98724103569,538485.340673586,100,5,5,0,0,0,1
2693.92506464144,2465.76708418606,496476.721318145,100,5,5,0,0,0,1
1691.2198361289,2658.46631659001,535675.0318154,100,5,5,0,0,0,1
4711.36277261679,2555.29983157436,511382.867491433,100,5,5,0,0,0,1
2595.03802476805,2278.4705013565,418273.158843812,100,5,5,0,0,0,1
3418.47896960507,2341.61003522835,436040.829882034,100,5,5,0,0,0,1
2577.34271438508,2479.58052074002,484335.974343771,100,5,5,0,0,0,1
3263.10218558621,2727.55958992376,596266.312827432,100,5,5,0,0,0,1
1885.92036207862,2472.63732624172,520849.056158626,100,5,5,0,0,0,1
2138.86774513005,2154.88988078606,356767.545320985,100,5,5,0,0,0,1
1941.34389549822,2299.20374194457,434238.56844863,100,5,5,0,0,0,1
3124.93196220967,2676.51505375224,554796.278814172,100,5,5,0,0,0,1
2334.24351812691,2160.80610526035,395044.117033607,100,5,5,0,0,0,1
3788.17362939251,2646.80338938568,562621.803811786,100,5,5,0,0,0,1
2149.58111780193,2500.43173133381,511485.119844855,100,5,5,0,0,0,1
2103.54697810952,2267.07957747524,419913.295565668,100,5,5,0,0,0,1
1450.86321745343,2513.14889281654,500574.757542943,100,5,5,0,0,0,1
1749.88886340384,2810.7373296299,617854.841725228,100,5,5,0,0,0,1
1777.80017602292,2264.48036788374,413060.508915848,100,5,5,0,0,0,1
2093.7174209949,2743.91035127712,572466.53360647,100,5,5,0,0,0,1
3144.47192823259,2394.34571937586,439723.410436518,100,5,5,0,0,0,1
2559.1325641856,2348.20113792888,446518.941787625,100,5,5,0,0,0,1
2431.89805884813,2556.72900222486,530786.805906754,100,5,5,0,0,0,1
1970.49501713028,2743.64899607546,588082.355539402,100,5,5,0,0,0,1
3233.61258851895,2466.27822499637,457895.417923728,100,5,5,0,0,0,1
2130.69164302618,2660.89548996732,544522.439733853,100,5,5,0,0,0,1
2182.18965935932,2523.66021965179,534130.753704615,100,5,5,0,0,0,1
2332.73545493395,2246.58515531914,392458.827668937,100,5,5,0,0,0,1
2809.70664288798,2633.64015905975,574120.834518231,100,5,5,0,0,0,1
2503.76587726268,2507.91295801158,508949.720277157,100,5,5,0,0,0,1
1809.25420792928,2571.30820136043,500921.511573652,100,5,5,0,0,0,1
2563.21245987612,2471.9964432162,477814.04869515,100,5,5,0,0,0,1
1877.21642953361,2731.82464669375,621863.105661663,100,5,5,0,0,0,1
3956.7817176866,2229.44532781706,394254.27529499,100,5,5,0,0,0,1
2256.86068286718,2403.10609691096,474966.553315687,100,5,5,0,0,0,1
3046.29774603199,2242.15873685243,401452.015839727,100,5,5,0,0,0,1
1799.71747297466,2858.28849500391,654173.951297241,100,5,5,0,0,0,1
1215.81279989363,2340.30926637824,434359.615549496,100,5,5,0,0,0,1
2340.89361955424,2261.96064525948,435526.102119998,100,5,5,0,0,0,1
2175.59478088783,2511.62670110373,492913.546859892,100,5,5,0,0,0,1
1565.50355157022,2536.19873726189,501632.390309181,100,5,5,0,0,0,1
3682.36333959435,2639.98671556032,553747.374573526,100,5,5,0,0,0,1
2023.56012261149,2393.61818816814,445748.177254321,100,5,5,0,0,0,1
2424.40186632388,2307.07425446059,427838.267744253,100,5,5,0,0,0,1
1303.52077046718,2349.67911289475,444191.910344147,100,5,5,0,0,0,1
1561.16235071365,2219.53215777146,386325.657348325,100,5,5,0,0,0,1
2957.36984217977,2701.48522666714,578092.931452345,100,5,5,0,0,0,1
2185.27688520197,2500.38859086243,523825.827540395,100,5,5,0,0,0,1
2567.46759946236,2493.06106206622,491551.092480624,100,5,5,0,0,0,1
3733.36170322401,2612.13189056891,539683.876825671,100,5,5,0,0,0,1
3625.82988793164,2348.3836900455,430699.775605067,100,5,5,0,0,0,1
2896.77873289549,2988.1045987944,708044.424422283,100,5,5,0,0,0,1
1769.22377629746,2375.09274908787,451408.990310758,100,5,5,0,0,0,1
4997.84321922809,2398.5773911333,473226.267736742,100,5,5,0,0,0,1
3453.30567313148,2382.84037634664,437234.349511276,100,5,5,0,0,0,1
2487.10167122062,2227.72006933161,389118.221637012,100,5,5,0,0,0,1
2421.10830898745,2661.7628407791,549089.061502426,100,5,5,0,0,0,1
2368.56278587661,2399.10455676961,475812.578592991,100,5,5,0,0,0,1
4184.54774586902,2413.17523441742,472735.550694867,100,5,5,0,0,0,1
1928.16498221116,2345.43038823238,434021.791791084,100,5,5,0,0,0,1
4502.39939805476,2837.87653569079,620629.412044359,100,5,5,0,0,0,1
1383.75463353448,2387.43729613778,442358.710444674,100,5,5,0,0,0,1
1731.95519974251,2159.90131634175,369221.331147421,100,5,5,0,0,0,1
3371.09257519225,2400.27650598657,458825.721240164,100,5,5,0,0,0,1
1785.54563590562,2761.80042567561,622972.086076317,100,5,5,0,0,0,1
2311.02117169452,2831.68917637026,629588.582271921,100,5,5,0,0,0,1
2609.46888439691,2312.42766237222,405720.044840959,100,5,5,0,0,0,1
2614.02599395676,2535.76988542855,500026.098063297,100,5,5,0,0,0,1
997.468361274163,2503.74060603045,519552.231382071,100,5,5,0,0,0,1
1922.87755331125,2315.90145052573,406937.983678081,100,5,5,0,0,0,1
1697.23747213998,2178.83273281304,368734.387576851,100,5,5,0,0,0,1
1591.57421444145,2409.86992151314,460276.739032232,100,5,5,0,0,0,1
1115.65520950208,2582.37877833078,539424.944106929,100,5,5,0,0,0,1
2996.4135831646,2735.10917011633,638828.108809835,100,5,5,0,0,0,1
2624.15958250158,2795.01444640619,644089.657900265,100,5,5,0,0,0,1
1329.38501723822,2496.8095984932,517527.51038325,100,5,5,0,0,0,1
4012.83679875803,2475.2158519233,552667.288203658,100,5,5,0,0,0,1
1873.82422276656,2628.6763110098,540444.214917212,100,5,5,0,0,0,1
2249.39243222757,2155.19531654083,385107.716701334,100,5,5,0,0,0,1
