"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
19558.5055454034,3196.89399710153,830729.705425796,100,5,5,0,0,0.2,1
10249.3363847048,2831.63216050292,648212.868230709,100,5,5,0,0,0.2,1
10432.1294675371,2377.68841235967,449590.373537396,100,5,5,0,0,0.2,1
11071.6530594195,2184.07558984308,380339.839111375,100,5,5,0,0,0.2,1
15936.7054448567,2808.07486938835,629786.320766331,100,5,5,0,0,0.2,1
22843.8856690866,3272.45013884193,894161.733839307,100,5,5,0,0,0.2,1
11099.535772937,2297.17461231509,411274.598381518,100,5,5,0,0,0.2,1
8869.1339546638,1947.45669835922,311618.218332712,100,5,5,0,0,0.2,1
9031.10080738396,2684.47302144328,616379.019310606,100,5,5,0,0,0.2,1
8654.54276419344,2420.63316770231,460455.294911872,100,5,5,0,0,0.2,1
13676.3733506854,2885.71729853341,660715.872164164,100,5,5,0,0,0.2,1
12122.5789066217,2438.8526616274,476291.968696918,100,5,5,0,0,0.2,1
13304.508915916,2735.79415595142,591806.219068533,100,5,5,0,0,0.2,1
16257.0776154052,2538.27985717452,530219.982731192,100,5,5,0,0,0.2,1
8604.61671080551,2446.18940972233,490752.232714174,100,5,5,0,0,0.2,1
11385.8652729822,2384.52433042408,466905.428426788,100,5,5,0,0,0.2,1
9937.86790488058,2455.89968257007,467548.54640126,100,5,5,0,0,0.2,1
9757.93333381866,2262.58407572583,408289.496386716,100,5,5,0,0,0.2,1
12041.4264523005,2534.02996594365,509444.039915826,100,5,5,0,0,0.2,1
12221.367204289,2532.44982333241,498290.844102839,100,5,5,0,0,0.2,1
11653.6361595861,2213.67048700322,404498.783190126,100,5,5,0,0,0.2,1
17421.7463208975,2499.85525837173,510855.068669718,100,5,5,0,0,0.2,1
15002.2251586456,2472.62102232282,492852.11822755,100,5,5,0,0,0.2,1
11525.6451959864,2642.48714943919,592702.883286535,100,5,5,0,0,0.2,1
11682.5537901837,2373.96301076095,436188.512010738,100,5,5,0,0,0.2,1
15823.548716829,2646.56162035658,591533.302586896,100,5,5,0,0,0.2,1
14238.3750596121,2733.96457887643,598415.837456514,100,5,5,0,0,0.2,1
17189.5372028342,2181.55592414824,395074.819038152,100,5,5,0,0,0.2,1
9001.53774355181,2215.50951179323,384610.757829673,100,5,5,0,0,0.2,1
8471.30301759856,2630.20619638251,571631.702256248,100,5,5,0,0,0.2,1
18004.8712387849,2371.15236220281,461847.358974219,100,5,5,0,0,0.2,1
6487.85284807557,2049.54019167541,342389.879111485,100,5,5,0,0,0.2,1
13759.9445653862,2949.3051623863,725875.230729414,100,5,5,0,0,0.2,1
6906.96202568505,2231.71946514591,415453.279787402,100,5,5,0,0,0.2,1
15018.0690657918,2518.70703143082,496661.734911966,100,5,5,0,0,0.2,1
10394.0991359476,2154.16881001148,355881.62306987,100,5,5,0,0,0.2,1
14441.8574581756,2417.891563446,482686.505210808,100,5,5,0,0,0.2,1
13993.5377696039,2449.74536859626,470870.995440899,100,5,5,0,0,0.2,1
12153.9360610216,2345.01422066799,449538.663519316,100,5,5,0,0,0.2,1
7549.08932059956,2240.79154615322,388035.47179863,100,5,5,0,0,0.2,1
9776.83883034887,2187.56905769035,393057.783727541,100,5,5,0,0,0.2,1
9047.90157581318,2397.17239579327,464693.863408473,100,5,5,0,0,0.2,1
14053.1319378163,2634.92002112102,590299.652435445,100,5,5,0,0,0.2,1
10803.0993326026,2259.80579275225,397212.748031152,100,5,5,0,0,0.2,1
11437.2303286652,2573.39726482507,527339.684078318,100,5,5,0,0,0.2,1
12150.2912707922,2430.91078017533,468933.104070243,100,5,5,0,0,0.2,1
14026.9208373188,2571.3401347733,524060.225009838,100,5,5,0,0,0.2,1
10705.5663990965,1945.78230264992,297512.874732633,100,5,5,0,0,0.2,1
14823.1373801189,2936.52121588093,698152.454393197,100,5,5,0,0,0.2,1
10192.7739227361,2312.11720905043,427423.44133451,100,5,5,0,0,0.2,1
19274.1882632347,2883.69700816662,666291.988044323,100,5,5,0,0,0.2,1
14350.1403519355,3020.36654336453,721483.210648632,100,5,5,0,0,0.2,1
8927.4173741108,2154.90335676795,355047.136031389,100,5,5,0,0,0.2,1
13357.289582397,2759.77061418698,620684.118441536,100,5,5,0,0,0.2,1
10442.0775030494,1974.04107971147,297543.963427916,100,5,5,0,0,0.2,1
10841.1317248234,2233.94555282422,399576.236368258,100,5,5,0,0,0.2,1
15925.7619141293,2948.64020593708,666693.278784943,100,5,5,0,0,0.2,1
7944.25434815116,2404.09444432707,503697.60992446,100,5,5,0,0,0.2,1
11941.8926372628,2620.2396665613,554696.490595291,100,5,5,0,0,0.2,1
8585.51068563813,2320.1482724697,424467.924620316,100,5,5,0,0,0.2,1
8509.70996657738,2184.22674691081,381172.981149969,100,5,5,0,0,0.2,1
10934.1852222685,2245.27008874653,408442.609272877,100,5,5,0,0,0.2,1
8977.13587729173,2224.05878414285,391732.400163451,100,5,5,0,0,0.2,1
15888.6158458428,2398.85958417099,481333.284592826,100,5,5,0,0,0.2,1
11284.5713430959,2459.63804679277,488915.868500674,100,5,5,0,0,0.2,1
11280.938917932,2321.08614968742,436874.882857643,100,5,5,0,0,0.2,1
11626.1630529544,2395.61279630397,447293.664314555,100,5,5,0,0,0.2,1
10599.6502987833,3047.45045515664,716750.247972649,100,5,5,0,0,0.2,1
13601.8114344754,2943.65335439544,690994.59940047,100,5,5,0,0,0.2,1
9778.48629099405,2340.90675781675,442354.562078538,100,5,5,0,0,0.2,1
12531.0148388759,2420.71597201962,459017.260675423,100,5,5,0,0,0.2,1
10608.9180902026,2511.06435800453,494787.684476217,100,5,5,0,0,0.2,1
11210.1802882316,2563.60109395507,516587.723373648,100,5,5,0,0,0.2,1
11986.2278024519,2563.26490542635,510654.605321045,100,5,5,0,0,0.2,1
11701.8716906656,2795.22715612846,613042.944506547,100,5,5,0,0,0.2,1
16819.4026010425,2761.5346527743,623184.707465495,100,5,5,0,0,0.2,1
8635.51601553722,2336.95742446489,436817.666936964,100,5,5,0,0,0.2,1
