"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12"
0.13165604093889,0.0489747298491709,0.0047683234873135,500,5,5,1,1,0
0.00775660529849968,0.0464816743013338,0.00429521728876616,500,5,5,1,1,0
0.0210964984937354,0.0476037464713802,0.00450509423432932,500,5,5,1,1,0
0.00177515273299949,0.0454358952809419,0.00410411756020117,500,5,5,1,1,0
0.0142676979462583,0.0503174910189567,0.00503337824916769,500,5,5,1,1,0
0.00882244352639844,0.045488063001975,0.00411354734564661,500,5,5,1,1,0
0.0819417516829916,0.0524317672671662,0.00546525720136376,500,5,5,1,1,0
0.0553660446720542,0.038923686223581,0.00301196234697577,500,5,5,1,1,0
0.0145282161644954,0.0513813695370852,0.00524847296400094,500,5,5,1,1,0
0.00208673682810129,0.0530987911986749,0.00560519700649387,500,5,5,1,1,0
0.0166902052107221,0.0569287651248395,0.00644295561166581,500,5,5,1,1,0
0.016006869481265,0.0503764839608376,0.00504518757627044,500,5,5,1,1,0
0.0114803311380255,0.0522326944980248,0.00542383504396384,500,5,5,1,1,0
0.297693612032591,0.0578776288341132,0.00665952223509287,500,5,5,1,1,0
0.000847432070632207,0.0503325575852672,0.00503639298934519,500,5,5,1,1,0
0.150341734481616,0.0530320765793443,0.00559112084178075,500,5,5,1,1,0
0.020799586328078,0.0493068247244145,0.00483321020468366,500,5,5,1,1,0
0.00192056595538375,0.0508516944235418,0.0051408208511822,500,5,5,1,1,0
0.0153717716350187,0.0441068720674467,0.00386753392997966,500,5,5,1,1,0
0.00289504591823121,0.044200155730355,0.0038839104820784,500,5,5,1,1,0
0.0654904802369344,0.0458467304330654,0.00417867265596117,500,5,5,1,1,0
8.39356714446375e-05,0.050424818883491,0.00505487367264498,500,5,5,1,1,0
0.126378388978426,0.0606605462297363,0.00731533545192497,500,5,5,1,1,0
0.0385184094545891,0.0526536823890563,0.00551161802006208,500,5,5,1,1,0
0.0082680621723494,0.051595551850773,0.00529232049281966,500,5,5,1,1,0
0.140987685783533,0.0558903127985723,0.00621004422447777,500,5,5,1,1,0
0.0750465861419915,0.0522814709601264,0.00543396965455392,500,5,5,1,1,0
0.149765222009376,0.043610554392322,0.00378098389738133,500,5,5,1,1,0
0.225386220322113,0.0472338377786114,0.00443535187539118,500,5,5,1,1,0
0.0728302065393199,0.0455445854703374,0.004123776504196,500,5,5,1,1,0
0.00151601698898559,0.0457075403234615,0.00415333837415403,500,5,5,1,1,0
0.000198274648319114,0.0511707923287151,0.00520554129261136,500,5,5,1,1,0
0.000423138551921461,0.0439791620237792,0.00384516971166579,500,5,5,1,1,0
0.107155459708135,0.0411889756414639,0.00337274568370365,500,5,5,1,1,0
0.0306152768883871,0.0522271309221717,0.0054226796637609,500,5,5,1,1,0
0.00586010631235329,0.0548749654743515,0.00598646065562478,500,5,5,1,1,0
0.0269969216867778,0.0541676627811306,0.00583313203274569,500,5,5,1,1,0
0.0725823357567038,0.0582253834666878,0.0067397894186097,500,5,5,1,1,0
0.189954414618124,0.0480601148124251,0.00459188729988091,500,5,5,1,1,0
0.0250818066901187,0.0539129479613524,0.00577840226357676,500,5,5,1,1,0
0.0561265832072145,0.0468013689912287,0.00435450432514037,500,5,5,1,1,0
0.000109747684634204,0.058701529100511,0.00685047113904826,500,5,5,1,1,0
0.137821617242826,0.0479435283539754,0.00456963589497868,500,5,5,1,1,0
0.148259168620756,0.0485314008516883,0.00468238658912722,500,5,5,1,1,0
0.285362756542901,0.0602653123253905,0.00722031983672286,500,5,5,1,1,0
7.01468202088947e-05,0.0627480345976485,0.00782747820855132,500,5,5,1,1,0
0.00671206939249268,0.0514766858594594,0.00526796365334365,500,5,5,1,1,0
0.0662834969892602,0.0450088459449422,0.0040273313940965,500,5,5,1,1,0
