"C_XY_Z","E_C_XY_Z","Var_C_XY_Z","C_XYrZ","E_C_XYrZ","Var_C_XYrZ","nC_XY_Z","E_nC_XY_Z","Var_nC_XY_Z","nC_XYrZ","E_nC_XYrZ","Var_nC_XYrZ","n","p1","p2","p3","r1","r2","r3","r12","r13","r23","semidef_pos"
2728.97913209049,2722.79687339672,121.512712613704,866.2133600713,0,601244.902012608,73.5233943309291,130.074281672108,2841.30872637664,3521.66909783087,2592.72259172461,603976.307911017,100,5,5,5,0,0,0,0,0,0,1
2707.16175611584,2702.17672939029,121.941872619341,849.266536180696,0,603368.385720501,80.6113073980438,127.634777969105,2796.8312479452,3475.8169848985,2574.54195142118,606054.794715301,100,5,5,5,0,0,0,0,0,0,1
2702.01381306049,2699.74400655112,122.408136388052,-920.197452686785,0,605675.458848079,168.842056873482,132.31367851092,2895.49440859224,1612.97430350022,2567.4303280402,608460.543495511,100,5,5,5,0,0,0,0,0,0,1
2834.07023748667,2866.95231096811,131.079138221161,-459.060213794537,0,648579.575918305,153.314635132415,133.909612328659,3042.74680983735,2221.69538855972,2733.04269863945,651503.488479043,100,5,5,5,0,0,0,0,0,0,1
2915.58144072027,2929.50209877743,141.313043539229,-329.842528061812,0,699216.939432103,105.299377558012,137.680042522801,3248.01661375042,2480.43953510045,2791.82205625463,702336.9257959,100,5,5,5,0,0,0,0,0,0,1
2632.53371258371,2644.42270798996,115.050430940017,550.830389257122,0,569269.532291207,64.9813724280395,125.904302660156,2678.24568682453,3118.38272941279,2518.5184053298,571843.682939536,100,5,5,5,0,0,0,0,0,0,1
2363.81471274143,2363.95298576478,93.1898886344298,-629.033153739045,0,461103.568963159,102.12700577392,111.871179956188,2142.60704796839,1632.65455322846,2252.0818058086,463161.806317195,100,5,5,5,0,0,0,0,0,0,1
2667.99642328108,2686.94135131769,117.054101389939,846.5033733787,0,579183.693677419,127.198473524637,130.445109712318,2792.4192990095,3387.30132313514,2556.49624160537,581870.424314847,100,5,5,5,0,0,0,0,0,0,1
2843.93747348632,2853.55535367418,131.327070477821,1158.8192433158,0,649806.344724258,194.800221769504,137.092021449859,3110.37986876826,3807.95649503262,2716.46333222432,652798.016092249,100,5,5,5,0,0,0,0,0,0,1
2314.67245153655,2314.6087925966,85.448703211066,1048.21684232248,0,422800.183488354,104.656251556253,112.621519948319,2059.05314058972,3258.23304230278,2201.98727264828,424782.103251298,100,5,5,5,0,0,0,0,0,0,1
2624.53671557227,2626.19343288356,111.534333041591,301.744615374668,0,551871.87988979,111.361098510553,125.960328020111,2635.25146037377,2814.92023243638,2500.23310486345,554406.296077595,100,5,5,5,0,0,0,0,0,0,1
2711.7424430464,2713.14956129615,125.491443726647,-237.752508332829,0,620931.663559451,118.015736825324,132.167276465818,2930.98619925766,2355.97419788825,2580.98228483033,623749.384594413,100,5,5,5,0,0,0,0,0,0,1
2643.42001443676,2653.46468098061,114.220187951594,382.305536724682,0,565161.489984486,134.097030684211,128.482038943441,2716.90533963056,2891.62852047723,2524.98264203716,567775.236329285,100,5,5,5,0,0,0,0,0,0,1
2689.8330741079,2682.93762992262,119.747703630127,160.933899942021,0,592511.637561868,71.7496019948647,125.301959007012,2723.09581295703,2779.01737205505,2557.63567091561,595126.170889728,100,5,5,5,0,0,0,0,0,0,1
2777.92846131777,2780.93490076282,122.848915704935,-601.718174346404,0,607856.434908018,60.9572094173614,126.47158931486,2788.51785312726,2115.25307755401,2654.46331144795,610533.277711906,100,5,5,5,0,0,0,0,0,0,1
2480.67951163791,2480.70364757309,101.924586156714,1266.46851598311,0,504322.852303423,113.699896490441,118.996176113591,2379.84197992553,3633.44813113058,2361.7074714595,506610.54808085,100,5,5,5,0,0,0,0,0,0,1
2269.79616656573,2253.34931268318,77.5891301977752,830.506611385812,0,383911.016218592,238.412770246864,110.274665411125,1917.91581578961,2861.89000770468,2143.07464727205,385758.937035572,100,5,5,5,0,0,0,0,0,0,1
2309.58439120679,2323.07829581799,89.5810031362753,333.758398357091,0,443246.80351829,83.6242889852383,108.232549884248,2034.83812924964,2559.71850057864,2214.84574593374,445200.407827887,100,5,5,5,0,0,0,0,0,0,1
2516.47674805879,2516.52802497429,104.566343052619,756.228049554318,0,517394.265424357,63.4327622120363,121.610819050082,2461.65251238374,3209.27203540107,2394.91720592421,519761.457897689,100,5,5,5,0,0,0,0,0,0,1
2169.98294902502,2170.60726501233,73.4199282910206,286.090399149445,0,363281.80518397,107.017459723205,104.20270004736,1766.54655000104,2349.05588845126,2066.40456496497,364981.981035532,100,5,5,5,0,0,0,0,0,0,1
2783.61884784501,2780.37929455781,126.736546405608,-517.488550229282,0,627092.431614949,57.3307220307721,133.784702908747,2982.12404742366,2208.79957558496,2646.59459164906,629960.015589479,100,5,5,5,0,0,0,0,0,0,1
2560.5619995566,2556.18210716382,101.041049002588,45.183434941508,0,499951.110464805,80.3830402015881,121.263404519661,2413.89611513609,2525.36239429652,2434.91870264416,502273.552157465,100,5,5,5,0,0,0,0,0,0,1
2705.70257237766,2712.56468018537,114.966328362525,-571.25322744681,0,568853.392737775,203.711554506442,128.027366095576,2720.26861333061,1930.73779042441,2584.53731408979,571469.547362094,100,5,5,5,0,0,0,0,0,0,1
2726.23570644461,2721.60060797636,115.66643594068,-751.359311180415,0,572317.525034486,75.0238223058039,124.799070214021,2666.64029934754,1899.8525729584,2596.80153776234,574879.106673051,100,5,5,5,0,0,0,0,0,0,1
2786.20855154885,2776.82938086749,121.625055439602,-1015.40454208579,0,601800.774315151,229.198901870743,131.033362722988,2864.20839855893,1541.60510759231,2645.7960181445,604554.836174102,100,5,5,5,0,0,0,0,0,0,1
2152.22212414286,2151.6783896319,75.4696149086165,-149.810102751207,0,373423.654567835,119.62589410031,103.803392745901,1784.90453138412,1882.78612729135,2047.874996886,375140.371243624,100,5,5,5,0,0,0,0,0,0,1
2126.95684112971,2126.67446217474,75.070217559244,-793.557657466442,0,371447.436483139,115.119403441245,104.262331386122,1786.13914602051,1218.27978022203,2022.41213078862,373165.86619581,100,5,5,5,0,0,0,0,0,0,1
2466.93975938083,2467.24018579705,100.397806221315,305.347607028258,0,496768.345183065,106.394767296287,119.345135573506,2366.97567866939,2665.8925991128,2347.89505022354,499044.635924056,100,5,5,5,0,0,0,0,0,0,1
2475.11658455557,2468.81222374096,100.895206743143,45.8813810559962,0,499229.482965071,180.832674449423,118.087431356983,2350.99411409152,2340.16529116214,2350.72479238398,501489.233846503,100,5,5,5,0,0,0,0,0,0,1
2308.57174925969,2314.28268111773,86.267016373502,683.713459395588,0,426849.197016088,96.8710133338817,111.371357299739,2047.50589285265,2895.41419532139,2202.91132381799,428818.738832205,100,5,5,5,0,0,0,0,0,0,1
2462.05904800544,2462.59349933162,100.573580472129,-271.284379823437,0,497638.076176094,68.3790508070393,117.719913794957,2339.94534799019,2122.39561737496,2344.87358553666,499887.063426822,100,5,5,5,0,0,0,0,0,0,1
2778.48701238701,2774.43655357294,120.856081232334,211.13851808913,0,597995.889937588,92.424825409342,134.05387892135,2914.49642179828,2897.2007050668,2640.3826746516,600801.209209113,100,5,5,5,0,0,0,0,0,0,1
2527.8747221191,2544.86002667141,99.3109871860132,-387.879188894187,0,491390.764596394,134.354957009104,121.175417211409,2390.28042821259,2005.64057621581,2423.68460946,493691.191571571,100,5,5,5,0,0,0,0,0,0,1
2236.61438857313,2237.4600963563,78.9407222928383,1558.42394309872,0,390598.693904964,104.932912950283,107.261481623017,1886.19039418367,3690.10541872157,2130.19861473328,392413.512247105,100,5,5,5,0,0,0,0,0,0,1
2372.11526904498,2375.52103780012,94.1250256286724,55.5572843577958,0,465730.626810671,130.081068350837,114.694619617162,2203.41271781915,2297.59148505194,2260.82641818295,467849.003569082,100,5,5,5,0,0,0,0,0,0,1
2673.03670405096,2674.73530026158,118.851333297075,1638.62541452421,0,588076.397153925,118.238532129627,128.476124015471,2774.4778240691,4193.42358644555,2546.25917624611,590743.441266946,100,5,5,5,0,0,0,0,0,0,1
2309.47418444638,2305.12488549281,84.2170953161608,174.528391259327,0,416706.187624363,68.7618747547707,109.197550375698,1985.73174158662,2415.24070095094,2195.92733511711,418615.681274779,100,5,5,5,0,0,0,0,0,0,1
2223.5350639898,2222.81629049303,75.6923460985736,-196.515545718908,0,374525.728495742,87.3588020955614,109.408877039107,1878.54257225462,1939.66071617533,2113.40741345392,376336.03000307,100,5,5,5,0,0,0,0,0,0,1
2804.49556272062,2809.57802927488,125.855040097998,150.536724437214,0,622730.738404893,115.49928890448,133.613752501876,2970.16668609298,2839.53299825335,2675.96427677301,625587.02050624,100,5,5,5,0,0,0,0,0,0,1
2346.97327621704,2342.8474536525,90.4194638522311,-168.534183986114,0,447395.50714084,58.2332630714422,113.010596943913,2127.47782155782,2120.20582915948,2229.83685670858,449441.288522803,100,5,5,5,0,0,0,0,0,0,1
2379.48660506456,2379.47503565665,91.37363533908,635.866266970928,0,452116.747657768,80.8535018053669,117.722310558121,2221.83327130217,2934.49937023012,2261.75272509853,454256.248544692,100,5,5,5,0,0,0,0,0,0,1
2267.87565080066,2251.08656855093,79.6287909442597,-647.146146093516,0,394003.257592197,30.5950259692703,105.851369796143,1872.61363650826,1590.13447873788,2145.23519875479,395803.731102759,100,5,5,5,0,0,0,0,0,0,1
2235.98214080476,2231.72686951069,77.4963403553291,320.389531695234,0,383451.892078168,56.5050847569246,104.012452210027,1816.55703376456,2499.86658774307,2127.71441730066,385198.176401411,100,5,5,5,0,0,0,0,0,0,1
2402.63138928993,2390.44957861748,92.2390787711567,396.935123174674,0,456398.961759683,47.0472543279535,115.011661516281,2186.46292225692,2752.51925813665,2275.4379171012,458502.061397749,100,5,5,5,0,0,0,0,0,0,1
2238.94675108801,2218.17683111517,79.702247131357,-733.143652131594,0,394366.718805954,221.508073945368,108.972384755933,1922.52790047222,1284.29502501105,2109.20444635924,396217.375524716,100,5,5,5,0,0,0,0,0,0,1
2434.05502510161,2434.8331193682,92.3888339972446,-732.829098090075,0,457139.950618366,143.492505820389,116.839746443495,2222.07644642166,1557.73342119114,2317.9933729247,459278.505111935,100,5,5,5,0,0,0,0,0,0,1
2257.03438531455,2256.10257534122,83.3849270073432,-4.53927998241102,0,412588.618832334,143.877734311019,104.750412669434,1900.21122008975,2108.61737102112,2151.35216267179,414413.18821796,100,5,5,5,0,0,0,0,0,0,1
2241.20686905586,2253.17422211661,81.4977329403226,613.429431727695,0,403250.782588716,70.462040255996,107.278855183693,1918.75850814861,2784.17426052756,2145.89536693292,405095.803956429,100,5,5,5,0,0,0,0,0,0,1
2166.10181357986,2187.34692162892,75.6324731788663,-593.038779928105,0,374229.47728903,136.207123494065,104.243369053918,1795.33290872725,1436.85591015769,2083.10355257501,375956.386625678,100,5,5,5,0,0,0,0,0,0,1
2279.13633492128,2264.53006747218,81.4837814885036,-911.467557704803,0,403181.750805116,45.168923517977,109.294585449792,1951.79327594844,1322.4998536985,2155.23548202239,405059.925716111,100,5,5,5,0,0,0,0,0,0,1
2689.98146749608,2691.13672424742,117.096382606701,442.075164303519,0,579392.901137956,137.192865899016,130.691694240177,2797.30510565909,2994.86376590059,2560.44503000725,582084.483140184,100,5,5,5,0,0,0,0,0,0,1
2280.30057959776,2277.77100477812,85.0115791627125,252.563996540676,0,420637.293697101,61.4745951479462,106.621367337704,1953.03277873756,2471.38998099049,2171.14963744042,422513.273599101,100,5,5,5,0,0,0,0,0,0,1
2159.48960199587,2155.58517017492,75.2195376040872,1076.60716151852,0,372186.272065023,148.990046863694,105.592540327544,1809.92640937885,3087.1067166507,2049.99262984738,373928.348278699,100,5,5,5,0,0,0,0,0,0,1
2593.34351838474,2593.08132053299,110.574009217696,-389.671270801884,0,547120.197609158,108.659408751316,127.301941195248,2647.18174499829,2095.01283883154,2465.77937933774,549667.662147544,100,5,5,5,0,0,0,0,0,0,1
2640.8269271638,2656.41967285582,111.041490403219,18.7771748545581,0,549433.294515125,157.043966120392,128.95478171106,2686.34930283462,2502.56013589796,2527.46489114476,552019.383252952,100,5,5,5,0,0,0,0,0,0,1
2434.4427027831,2433.23578384462,97.2971545969226,540.18990130955,0,481426.320945573,149.014627082571,119.221291014483,2324.74134305912,2825.61797701008,2314.01449283014,483663.299674387,100,5,5,5,0,0,0,0,0,0,1
2923.96451158557,2929.32421765668,139.399858012001,-178.172217655281,0,689750.49744338,105.122385517644,143.923687393229,3358.6265378214,2640.66990841265,2785.40053026346,692983.422123203,100,5,5,5,0,0,0,0,0,0,1
2345.91680382102,2351.81755836291,91.273841616595,306.905521868708,0,451622.968318912,104.019532756028,113.533156840422,2147.41511537684,2548.8027929337,2238.28440152248,453687.922017207,100,5,5,5,0,0,0,0,0,0,1
2219.77967979278,2219.71348528797,80.2760950408477,-139.451012848378,0,397206.118262115,90.4355177628029,105.683036403109,1876.49098543728,1989.8931491816,2114.03044888487,399009.977221469,100,5,5,5,0,0,0,0,0,0,1
2323.80182991911,2314.74330863916,83.3703960068983,-513.073426377684,0,412516.719442133,57.5360072566563,110.737397275318,2001.07962798205,1753.19239628477,2204.00591136384,414442.405559173,100,5,5,5,0,0,0,0,0,0,1
2694.55122287783,2714.88395984548,116.517765642736,1280.2599619583,0,576529.90440026,102.627249934271,128.612724130158,2750.94070549376,3872.18393490187,2586.27123571532,579175.36697751,100,5,5,5,0,0,0,0,0,0,1
2692.353235465,2685.43294067733,113.165625764394,-330.055130720865,0,559943.516282223,70.4553074075775,121.774357333694,2576.52447052955,2291.84279733656,2563.65858334363,562417.138404198,100,5,5,5,0,0,0,0,0,0,1
2394.00966477602,2397.71470296523,93.4294042074189,-1051.50420113983,0,462288.692018309,98.1877435662561,113.990814976526,2184.27066867568,1244.31772006993,2283.7238879887,464388.416820018,100,5,5,5,0,0,0,0,0,0,1
2478.13218486949,2484.94200613462,104.16564626058,441.59546556324,0,515411.617697348,97.7817531850225,119.861007712062,2423.00862321673,2821.94589724771,2365.08099842256,517740.509519951,100,5,5,5,0,0,0,0,0,0,1
2191.35219701609,2188.71482006551,79.5629354103608,-980.511816721663,0,393677.404410465,57.7116169396115,105.365037220683,1861.69883776891,1153.12876335481,2083.34978284482,395467.200654476,100,5,5,5,0,0,0,0,0,0,1
2445.67615410313,2453.5054642126,97.8974174864431,-597.542683666047,0,484396.421722921,94.4330367056496,118.631727045902,2323.03017554612,1753.70043373144,2334.8737371667,486631.021539342,100,5,5,5,0,0,0,0,0,0,1
2962.19271223524,2959.70953350288,142.737495930891,-385.598670326639,0,706265.129866049,98.3469833427882,142.662995972924,3374.16834443981,2478.24705856582,2817.04653752996,709510.321091092,100,5,5,5,0,0,0,0,0,0,1
2479.3768159054,2463.66622106087,96.020938402713,-13.2402999311827,0,475111.603216624,48.2511877700231,119.707422747435,2319.07739353728,2417.88532820419,2343.95879831344,477343.990821382,100,5,5,5,0,0,0,0,0,0,1
2277.58172829124,2293.04768744595,88.4207563224587,-200.473242784891,0,437505.902283526,131.797735815536,108.859935645151,2030.35597666726,1945.31074969082,2184.1877518008,439456.232861626,100,5,5,5,0,0,0,0,0,0,1
2541.48697585626,2539.34432141256,103.907799102249,-855.969463768116,0,514135.789957928,159.225569512807,121.36611019736,2450.69351619027,1526.29194257534,2417.9782112152,516492.508069996,100,5,5,5,0,0,0,0,0,0,1
2761.69087280283,2775.34455799605,120.498065154376,-27.122190834261,0,596224.426383855,157.240009571592,135.714196535608,2943.04420249744,2577.32867239698,2639.63036146044,599058.75721874,100,5,5,5,0,0,0,0,0,0,1
2496.36979783233,2480.23651819353,99.1042746418235,903.708060894547,0,490367.950927743,45.8763236681312,115.219665271033,2277.59328040235,3354.20153505874,2365.0168529225,492555.647733862,100,5,5,5,0,0,0,0,0,0,1
2337.77963527629,2324.18493777477,85.5254059467408,489.627156163609,0,423179.708624473,203.718095576716,108.135163955868,1985.33127153744,2623.68869586318,2216.0497738189,425087.472810114,100,5,5,5,0,0,0,0,0,0,1
2472.88269400907,2465.29829115385,101.475213291234,-393.80609136933,0,502099.355365026,59.6824406983977,119.918418311455,2390.42193396145,2019.39416194134,2345.37987284239,504398.174113855,100,5,5,5,0,0,0,0,0,0,1
2379.79309430946,2381.48157601702,89.7141069587,50.8942829505578,0,443905.401231648,119.842714316844,111.664519566943,2097.70317085577,2310.84466294317,2269.81705645008,445921.803447049,100,5,5,5,0,0,0,0,0,0,1
2683.1551659375,2685.7046693513,116.625932325706,599.487783501554,0,577065.113147595,94.5808205675363,131.386962632568,2804.46177818418,3188.06212887152,2554.31770671873,579764.359873576,100,5,5,5,0,0,0,0,0,0,1
2265.21826326959,2265.26793824219,81.1185266091241,-358.624410434422,0,401374.469661946,89.550782477679,109.091411778915,1944.03733861668,1817.04307035749,2156.17652646328,403245.201531685,100,5,5,5,0,0,0,0,0,0,1
2407.99852292689,2407.88039361001,95.2684215105713,-429.430603327476,0,471388.149634307,93.3686157841972,115.447525037565,2232.52476490928,1885.19930381522,2292.43286857245,473534.541401132,100,5,5,5,0,0,0,0,0,0,1
2810.89879552264,2809.5559268565,125.883452428968,493.102358434105,0,622871.322618532,168.241000589613,137.874071433799,3055.84813644325,3135.76015336713,2671.6818554227,625813.642325592,100,5,5,5,0,0,0,0,0,0,1
2307.36928091337,2288.33154504516,83.8139759401951,33.4715374757127,0,414711.552952086,37.4507103787097,107.745113575433,1956.11680354906,2303.39010801037,2180.58643146973,416591.748470224,100,5,5,5,0,0,0,0,0,0,1
2274.73552087681,2269.42168241217,82.9373290681708,931.596009497765,0,410373.904229309,62.0917472335849,111.614279033704,2008.09731239775,3144.23978314099,2157.80740337847,412307.222229512,100,5,5,5,0,0,0,0,0,0,1
2687.28511755401,2675.14088190622,120.144087899304,1227.27955162213,0,594472.946925757,226.031060562883,127.82666564377,2777.32221028426,3688.53360861326,2547.31421626245,597141.606774773,100,5,5,5,0,0,0,0,0,0,1
2997.90800334039,2972.78665343695,142.120511000147,-870.567568470888,0,703212.288428725,47.5083206502645,144.023718824111,3396.59680001069,2079.83211421924,2828.76293461283,706480.535449982,100,5,5,5,0,0,0,0,0,0,1
2321.11458576213,2308.68003225526,86.9257031974475,-212.076951417564,0,430108.37942097,38.0424664590867,111.395669620983,2055.9749815305,2070.99516788548,2197.28436263428,432085.817169581,100,5,5,5,0,0,0,0,0,0,1
2503.38243844575,2504.39853348481,98.7440105071473,440.32638094428,0,488585.363989365,110.13560922275,118.63576455701,2335.88728916576,2833.57321016728,2385.7627689278,490831.862465309,100,5,5,5,0,0,0,0,0,0,1
2742.32354881733,2740.48035826983,130.287685415941,-450.907967693283,0,644663.467438075,167.601394191178,133.294581265857,3015.0871027193,2123.81418693287,2607.18577700397,647560.941014796,100,5,5,5,0,0,0,0,0,0,1
2222.7696016054,2222.4966992692,79.8025073014056,611.864954327606,0,394862.806127355,158.234555431074,108.767972567158,1920.90908912247,2676.40000050194,2113.72872670204,396711.723705636,100,5,5,5,0,0,0,0,0,0,1
2317.24931318511,2312.65327473767,87.6106910596388,-546.350219022448,0,433497.699363093,164.719200346509,111.029371031837,2058.12835611423,1606.17989381615,2201.62390370583,435476.629322399,100,5,5,5,0,0,0,0,0,0,1
1982.68333544247,2016.92970313783,69.0902429259665,-148.274313745883,0,341858.521997682,170.514265536992,97.1034247126203,1599.27294494551,1663.89475615959,1919.82627842521,343395.357285751,100,5,5,5,0,0,0,0,0,0,1
2285.14895167376,2287.28362599638,84.61323908191,61.6057596689862,0,418666.306977291,71.0476313430478,112.145849856264,2038.91458945016,2275.7070799997,2175.13777614011,420628.905526571,100,5,5,5,0,0,0,0,0,0,1
2777.95913957518,2772.61100016099,125.491281407829,-842.987040507067,0,620930.860405937,55.7731945112072,132.782917659616,2946.34777405596,1879.1989045569,2639.82808250138,623763.736686782,100,5,5,5,0,0,0,0,0,0,1
2639.68608314567,2644.49827984933,110.354378245348,1004.55512134725,0,546033.463557979,150.083816689124,129.584795226529,2688.96255690146,3494.1573878038,2514.9134846228,548622.886831216,100,5,5,5,0,0,0,0,0,0,1
2430.89794331131,2425.4977737539,99.1625642710198,-861.76038217949,0,490656.368013006,170.762544495249,116.455127892181,2299.79764745902,1398.37501663657,2309.04264586172,492866.525256329,100,5,5,5,0,0,0,0,0,0,1
2187.4432348152,2175.00158191023,83.2787068987292,684.806936984356,0,412063.041734912,44.7453876438089,102.663941479624,1861.01939942399,2827.50478415575,2072.33764043061,413848.644233482,100,5,5,5,0,0,0,0,0,0,1
2304.46551539852,2304.9998051519,84.4978743937022,-330.606609026096,0,418095.482500038,112.217758268047,106.200982210928,1939.44897977479,1861.64114810438,2198.79882294097,419958.219946429,100,5,5,5,0,0,0,0,0,0,1
3018.09293372635,3019.17864748392,145.302162911221,-1003.58161247563,0,718955.102084724,205.586092742139,143.644855359315,3430.14476589962,1808.92522850858,2875.5337921246,722253.770903787,100,5,5,5,0,0,0,0,0,0,1
2355.85477065816,2352.19800911281,92.2042524335579,-361.25148200784,0,456226.641041244,71.6100079809025,110.451378507497,2105.43792055014,1922.99328066942,2241.74663060531,458248.533918106,100,5,5,5,0,0,0,0,0,0,1
2944.7695478537,2944.37117692923,136.438729863418,-522.567943555851,0,675098.835364191,103.506263246875,136.221026928208,3159.22048742525,2318.69534105097,2808.15015000102,678134.241769107,100,5,5,5,0,0,0,0,0,0,1
2483.23354393898,2481.41261192215,98.5524246588177,-665.98951535675,0,487637.39721183,90.2650979406131,118.245415690448,2325.46643446513,1726.97893064162,2363.1671962317,489873.70375262,100,5,5,5,0,0,0,0,0,0,1
2464.992545143,2463.80557699864,94.9371207074769,-637.356287258217,0,469748.873260596,85.5266824720572,121.565746366841,2337.88665605279,1742.10957541273,2342.2398306318,472001.191312714,100,5,5,5,0,0,0,0,0,0,1
2593.33304886425,2596.70177384558,112.470903070915,-315.293813570247,0,556506.028394886,134.546044992147,127.614781335567,2675.5003393312,2143.49319030185,2469.08699251001,559080.112585178,100,5,5,5,0,0,0,0,0,0,1
2279.70779906043,2284.75601111103,90.2632507365514,-941.100269189013,0,446622.564644456,134.007644256148,109.588567701051,2064.6091763166,1204.59988561527,2175.16744340998,448605.569543087,100,5,5,5,0,0,0,0,0,0,1
2171.75755711977,2169.3555081243,76.4578992404919,456.859776900114,0,378313.685441954,65.7313143401111,103.392397575151,1791.55198443051,2562.88601967977,2065.96311054915,380036.067558531,100,5,5,5,0,0,0,0,0,0,1
2367.86047288001,2364.62948005649,91.6229012546684,421.566564480845,0,453350.1154081,159.351906506619,113.225582430668,2146.89128496629,2630.07513085423,2251.40389762583,455414.158152823,100,5,5,5,0,0,0,0,0,0,1
2370.7077088029,2369.98713968522,96.2058886907993,607.355162611244,0,476026.737242075,89.1685564232587,116.361985404377,2258.31163474314,2888.89431499089,2253.62515428084,478198.290050542,100,5,5,5,0,0,0,0,0,0,1
2266.06376535966,2275.56735109771,80.9956825596409,2.65596924948925,0,400766.637305103,70.8387256775821,110.941819681778,1972.83778744396,2197.88100893157,2164.62553141593,402666.377052222,100,5,5,5,0,0,0,0,0,0,1
2506.93985732001,2506.36479588568,101.997965632937,2669.07690146118,0,504685.933951771,92.6466693898836,114.954410401725,2308.65269665682,5083.37008939131,2391.41038548396,506901.94495529,100,5,5,5,0,0,0,0,0,0,1
2696.94254921909,2692.17633745097,112.101450220571,457.10880808406,0,554677.975691386,184.702455580182,130.849373705013,2737.81553309047,2969.34890172297,2561.32696374596,557314.586835008,100,5,5,5,0,0,0,0,0,0,1
2437.88691186595,2438.76568309227,94.4529747794753,112.341214570114,0,467353.319208844,176.292407113206,118.872607332914,2283.42218310316,2373.93571932286,2319.89307575935,469551.496248375,100,5,5,5,0,0,0,0,0,0,1
2381.61360502764,2379.34883937237,91.8228606144703,407.551857748036,0,454339.514320399,86.4744985895243,116.047228516151,2199.14777330439,2702.69096418615,2263.30161085621,456455.796127776,100,5,5,5,0,0,0,0,0,0,1
