"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
38752.7510835599,3624.88698543995,1240455.0285628,100,5,5,0,0,0.5,0
33799.0319698621,3181.43029919147,947182.714240543,100,5,5,0,0,0.5,0
38836.3191526723,3452.07833121535,1108595.39510106,100,5,5,0,0,0.5,0
27634.2944608875,3112.74484070872,828395.648249397,100,5,5,0,0,0.5,0
42887.2262286302,3468.46168705855,1203193.19002299,100,5,5,0,0,0.5,0
31565.8915362708,3207.24091847503,915204.510912752,100,5,5,0,0,0.5,0
46355.0994557754,3699.7258313483,1366055.50918098,100,5,5,0,0,0.5,0
34757.2398350017,3116.75560737612,921293.806583534,100,5,5,0,0,0.5,0
34427.7253797042,3346.6182310287,1012967.3092441,100,5,5,0,0,0.5,0
20201.8112285906,2891.91997489906,675905.812805494,100,5,5,0,0,0.5,0
36923.3946601115,3781.60191719408,1240650.04841768,100,5,5,0,0,0.5,0
30123.7732796891,2970.77211198576,792560.975788189,100,5,5,0,0,0.5,0
36629.8376265707,3452.21402024433,1091281.23077958,100,5,5,0,0,0.5,0
38438.8311126634,3078.65860774237,963557.122503387,100,5,5,0,0,0.5,0
41606.6012684887,3588.11215082208,1249208.25206687,100,5,5,0,0,0.5,0
37163.8935690721,3758.07541743454,1247939.99964978,100,5,5,0,0,0.5,0
30108.1066027331,3341.48454738941,968242.969338728,100,5,5,0,0,0.5,0
32655.2827919724,2883.90606526446,799770.00376255,100,5,5,0,0,0.5,0
33502.2463137892,3251.10671332793,955724.594845431,100,5,5,0,0,0.5,0
37523.9635697471,3516.36254465497,1126985.0714237,100,5,5,0,0,0.5,0
48418.0431584313,3880.59390615233,1472866.81694159,100,5,5,0,0,0.5,0
28729.7470818046,3257.22355997604,887145.850696043,100,5,5,0,0,0.5,0
29343.7502931107,3470.03091691125,991319.432004672,100,5,5,0,0,0.5,0
34509.7891981023,3539.26282057869,1106299.51027868,100,5,5,0,0,0.5,0
36934.8478198033,3165.55195587514,958334.844919292,100,5,5,0,0,0.5,0
43742.3204314029,3514.24205160359,1245282.06283997,100,5,5,0,0,0.5,0
27690.2640072094,3037.25267588997,798029.126339905,100,5,5,0,0,0.5,0
29324.4294958759,2794.00486339623,724860.641192146,100,5,5,0,0,0.5,0
32221.8465706106,2982.50415659733,829578.318765426,100,5,5,0,0,0.5,0
35504.1562476735,3451.50312888605,1128371.3716638,100,5,5,0,0,0.5,0
39656.7177325426,3487.05646866553,1156257.98106786,100,5,5,0,0,0.5,0
23553.5507760153,3358.97979878627,913049.732821649,100,5,5,0,0,0.5,0
38685.4772147872,3297.42724075827,1074469.11364091,100,5,5,0,0,0.5,0
37679.9949638006,3910.28824419299,1354079.73920757,100,5,5,0,0,0.5,0
20914.2898596633,2999.2060277958,720949.268848753,100,5,5,0,0,0.5,0
59267.5006729543,4355.07264490139,2035925.99289892,100,5,5,0,0,0.5,0
32484.0097878601,3420.0699354278,1049035.57164128,100,5,5,0,0,0.5,0
44563.7075105107,3582.64910464708,1317697.47753275,100,5,5,0,0,0.5,0
44315.0534822206,3751.88296038284,1346309.23796751,100,5,5,0,0,0.5,0
50985.9305860155,3996.476456172,1627590.57921551,100,5,5,0,0,0.5,0
53874.2453140622,3781.10797512841,1546417.56122102,100,5,5,0,0,0.5,0
17666.0734016436,2776.00513101572,614251.85897919,100,5,5,0,0,0.5,0
30155.9049277577,2756.70746027286,714890.900211415,100,5,5,0,0,0.5,0
28695.1076697563,3359.16552697632,999644.454105424,100,5,5,0,0,0.5,0
38087.088198948,3217.25201843603,1041296.62814229,100,5,5,0,0,0.5,0
35839.7712840211,3726.72724003527,1199287.68009417,100,5,5,0,0,0.5,0
50696.675636896,3897.26764823525,1589306.51374052,100,5,5,0,0,0.5,0
34520.3545034928,3152.92510157004,932211.726308852,100,5,5,0,0,0.5,0
36415.1486333664,3687.20988898799,1215054.33834902,100,5,5,0,0,0.5,0
33788.2321695078,2929.47629983587,822726.325707434,100,5,5,0,0,0.5,0
32460.9280362316,3245.2642913034,969844.842260383,100,5,5,0,0,0.5,0
46481.0240408118,3827.57019260473,1449057.94479338,100,5,5,0,0,0.5,0
31501.273672308,3467.79608034664,1057243.43068867,100,5,5,0,0,0.5,0
32124.2623905421,3581.97704036501,1163464.27038618,100,5,5,0,0,0.5,0
54647.9867623349,4290.82658729686,1851230.98143591,100,5,5,0,0,0.5,0
49942.2494119289,3948.09236979046,1537177.73062508,100,5,5,0,0,0.5,0
28284.1925875442,2758.44384304278,694964.261724907,100,5,5,0,0,0.5,0
38061.2468068961,3825.78311595087,1274019.54018179,100,5,5,0,0,0.5,0
38707.5753722168,3359.71816131084,1078877.80041669,100,5,5,0,0,0.5,0
24729.4503400033,2834.87424597366,691273.346327517,100,5,5,0,0,0.5,0
32681.8457177894,3189.55936362534,934627.869084949,100,5,5,0,0,0.5,0
42003.0126371233,3316.91248039916,1076638.1261218,100,5,5,0,0,0.5,0
33598.6071080164,3218.08859994862,993809.674187866,100,5,5,0,0,0.5,0
26146.4563710703,2985.59930804716,759502.903770433,100,5,5,0,0,0.5,0
26175.7941047376,2771.37419453636,672097.292335272,100,5,5,0,0,0.5,0
40806.7757686832,3461.35403563869,1159593.33133157,100,5,5,0,0,0.5,0
25097.497114722,2902.8917329929,700572.401633793,100,5,5,0,0,0.5,0
52478.7650305454,3840.28636873092,1558775.11934925,100,5,5,0,0,0.5,0
