"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
3218.32769057657,2246.79843097283,401463.04198219,100,5,5,0,0,0,1
2203.58886100816,2194.31993120716,395191.697055497,100,5,5,0,0,0,1
1904.07534607289,2826.08485450999,616132.451427946,100,5,5,0,0,0,1
2549.10964719886,2384.05996498903,472175.225668982,100,5,5,0,0,0,1
2516.98009429434,2378.92627206928,427879.784454843,100,5,5,0,0,0,1
1570.51789527625,2511.79439129433,506980.476186681,100,5,5,0,0,0,1
2753.04162701227,2841.02112210366,645415.151397177,100,5,5,0,0,0,1
2407.08086061273,2517.70278394888,501422.852687887,100,5,5,0,0,0,1
2730.43881370772,2355.44150865407,447717.664423918,100,5,5,0,0,0,1
2283.51079984671,2669.63457846427,609066.958958175,100,5,5,0,0,0,1
2159.22378561596,2781.32424442099,655462.262509262,100,5,5,0,0,0,1
1768.28348180286,2411.12578054781,450720.663752451,100,5,5,0,0,0,1
2672.07525687824,2641.52362891104,551883.017495779,100,5,5,0,0,0,1
2356.05532316417,2958.26279610597,691480.731075758,100,5,5,0,0,0,1
2561.60603762339,2921.48735879471,675231.988302765,100,5,5,0,0,0,1
2212.12411789773,2162.60888220011,368136.711611505,100,5,5,0,0,0,1
2282.43677280743,2543.98400842265,501993.778464958,100,5,5,0,0,0,1
2534.50403821983,2797.75394957478,617519.475712872,100,5,5,0,0,0,1
2654.03008376366,2380.40218301302,451545.421656297,100,5,5,0,0,0,1
4592.18129957853,2590.71277078923,520198.9084962,100,5,5,0,0,0,1
4511.90988540082,2688.62959444762,580614.174544637,100,5,5,0,0,0,1
2025.76836828448,2746.65983249035,599074.894512449,100,5,5,0,0,0,1
3464.29076935603,2430.80959640231,487385.838679618,100,5,5,0,0,0,1
2357.82314047008,2400.45436247234,457048.879036405,100,5,5,0,0,0,1
1669.7513965171,2569.14770471464,534175.214317798,100,5,5,0,0,0,1
1091.31550416751,2496.28688502227,493153.15895334,100,5,5,0,0,0,1
2910.9454487447,2291.71376226775,418130.643310286,100,5,5,0,0,0,1
3518.81176949368,2941.92479771396,683052.47723196,100,5,5,0,0,0,1
2639.80964474445,2242.97798440798,405107.439326925,100,5,5,0,0,0,1
3457.60971300744,2282.40940752532,422353.734918785,100,5,5,0,0,0,1
2275.64988345661,2385.09357781607,457652.333354986,100,5,5,0,0,0,1
2389.32583856437,2900.58119549896,680719.026654068,100,5,5,0,0,0,1
1528.63794934431,2161.7276269862,382960.574843034,100,5,5,0,0,0,1
1254.41917896522,2456.6663017953,474107.720265035,100,5,5,0,0,0,1
1442.01027910128,2562.60015477389,556303.621741925,100,5,5,0,0,0,1
2654.92493636225,2709.39419767678,574290.609305981,100,5,5,0,0,0,1
2168.90270761069,2518.93701030689,535710.137526656,100,5,5,0,0,0,1
2988.18947353262,2702.58470431509,564579.00507038,100,5,5,0,0,0,1
2535.4590624864,2563.27041287384,552134.354065676,100,5,5,0,0,0,1
1831.88593610531,2476.63295659053,471159.316931856,100,5,5,0,0,0,1
2755.68810410758,2486.21514693669,497219.950786467,100,5,5,0,0,0,1
2885.27415009587,2446.73500610836,488681.349043932,100,5,5,0,0,0,1
4057.80748731499,2309.5666389405,424517.140859209,100,5,5,0,0,0,1
1965.90216815565,2437.71644337642,480026.833308346,100,5,5,0,0,0,1
2139.63298088325,2065.44397222996,324070.722132615,100,5,5,0,0,0,1
2291.92631519465,2515.59886840025,501893.247064711,100,5,5,0,0,0,1
2910.69060454641,2609.61665625474,554407.711481613,100,5,5,0,0,0,1
2193.00541443343,2389.99954774798,487751.931388875,100,5,5,0,0,0,1
2476.70745573218,2819.23550086248,628968.056962528,100,5,5,0,0,0,1
2705.15037306271,2576.73150029055,531948.012587897,100,5,5,0,0,0,1
3725.38351408142,2609.99723019808,534025.400368453,100,5,5,0,0,0,1
2370.48042710655,1961.75162392569,299052.176703179,100,5,5,0,0,0,1
1967.51933946974,2082.88946639805,337605.477485812,100,5,5,0,0,0,1
2359.28093780463,2340.68088281206,430246.349992181,100,5,5,0,0,0,1
1468.94857046963,2254.97057761943,422175.246035018,100,5,5,0,0,0,1
2316.85423198141,2308.5328007557,414313.736503491,100,5,5,0,0,0,1
3360.63922754223,2403.39809088015,447132.248987254,100,5,5,0,0,0,1
1788.01012560857,2401.21576232403,483595.854028035,100,5,5,0,0,0,1
3385.26026618907,2676.20364203544,579745.790829702,100,5,5,0,0,0,1
1741.06638819737,2295.1742511664,417837.241143696,100,5,5,0,0,0,1
1710.64281208626,2110.83580784294,344883.945288391,100,5,5,0,0,0,1
2838.76430329075,2776.30616171456,628720.696348277,100,5,5,0,0,0,1
2126.19136495245,2599.79760447686,542274.51575979,100,5,5,0,0,0,1
1617.41022765492,2519.27922829349,499494.147539579,100,5,5,0,0,0,1
3051.6754804365,2506.41859946495,496607.278354934,100,5,5,0,0,0,1
3433.22946737754,2607.26636191606,523678.47065509,100,5,5,0,0,0,1
2410.85443332006,2500.2774296632,485650.594825291,100,5,5,0,0,0,1
3437.07711754956,2571.14303150226,586948.170119104,100,5,5,0,0,0,1
2362.93726073254,2359.74298161779,449102.017190664,100,5,5,0,0,0,1
3431.41208675984,2270.04773011038,411943.888848716,100,5,5,0,0,0,1
4103.72030866104,3281.99438360153,849003.19786588,100,5,5,0,0,0,1
1995.03255595651,2448.25686051397,499398.843703714,100,5,5,0,0,0,1
1442.45019604768,2484.37677411437,483078.002613836,100,5,5,0,0,0,1
2662.10725815619,2273.00472264305,410164.325410153,100,5,5,0,0,0,1
1668.61736360938,2656.11153130144,555791.975195932,100,5,5,0,0,0,1
2345.30749357512,2493.26324499545,498170.533596542,100,5,5,0,0,0,1
2416.01880103579,2270.85817762059,409528.630996524,100,5,5,0,0,0,1
4096.60019901148,2756.44150695037,602586.544113075,100,5,5,0,0,0,1
2846.17771531662,2479.85032656447,485891.488741582,100,5,5,0,0,0,1
1736.09925957069,2156.83312191375,373282.120780895,100,5,5,0,0,0,1
2519.10937082432,2487.5604745883,505287.301690173,100,5,5,0,0,0,1
2650.15898015078,2288.9906700219,409752.036218784,100,5,5,0,0,0,1
1580.10170686951,2058.98796650238,337368.078205875,100,5,5,0,0,0,1
3289.35670633664,2456.74337725084,470752.737170569,100,5,5,0,0,0,1
4016.94871393649,2633.23778321616,548836.861612902,100,5,5,0,0,0,1
2580.6906247064,2516.45840927794,506432.039328871,100,5,5,0,0,0,1
1581.68261393555,2889.47486759282,668912.563798486,100,5,5,0,0,0,1
2546.96538103672,2393.96588505983,464475.085184443,100,5,5,0,0,0,1
1549.20613210424,2654.59485733051,575215.768876144,100,5,5,0,0,0,1
3043.19646209275,2596.45536664812,538712.452195044,100,5,5,0,0,0,1
2029.8334037068,2368.4661233597,450538.471738797,100,5,5,0,0,0,1
1732.80295972332,1922.86828026321,316060.871957235,100,5,5,0,0,0,1
2321.28379049408,2178.02836844937,359427.054042546,100,5,5,0,0,0,1
1721.19443843622,2210.1857971231,393010.300597128,100,5,5,0,0,0,1
4102.14445286007,2880.18509358196,707316.437135386,100,5,5,0,0,0,1
2358.35274864373,2528.46893552378,506344.318717033,100,5,5,0,0,0,1
2707.51285312779,2458.04587889736,471871.350662946,100,5,5,0,0,0,1
1927.9504948553,2062.25485053844,357337.124789214,100,5,5,0,0,0,1
2184.70113370408,2977.79744592856,714779.548020525,100,5,5,0,0,0,1
2757.50428165622,2830.36221856457,626867.984346781,100,5,5,0,0,0,1
2540.10400737387,2926.56146799941,679597.490582929,100,5,5,0,0,0,1
3466.07803468392,2432.22361478305,476102.72929628,100,5,5,0,0,0,1
2200.39544180764,2571.59014668004,523416.434317902,100,5,5,0,0,0,1
4042.01954315472,2746.56490856996,589620.0624333,100,5,5,0,0,0,1
2743.56766594925,2258.77784869283,394053.951695108,100,5,5,0,0,0,1
2843.75250990159,2569.50247749136,525267.280928009,100,5,5,0,0,0,1
2828.15218001999,2265.97242073589,417059.008325614,100,5,5,0,0,0,1
3011.97139040526,2332.46412831843,445746.935854646,100,5,5,0,0,0,1
2864.27243031987,2541.7626253811,521355.63815068,100,5,5,0,0,0,1
2035.430267028,2444.27173013007,499362.670235599,100,5,5,0,0,0,1
2265.3436769138,2432.78434959172,474330.937163916,100,5,5,0,0,0,1
3173.53057572473,2406.52467481528,441832.435404698,100,5,5,0,0,0,1
2363.37560329316,2633.79347610826,565137.393631544,100,5,5,0,0,0,1
3082.88351097212,2622.28559623707,584206.12399246,100,5,5,0,0,0,1
1749.6378079618,2462.61478608974,477988.44868158,100,5,5,0,0,0,1
1152.63348549754,2538.90160150283,511711.404441267,100,5,5,0,0,0,1
3474.4454913592,2869.03072412683,697347.138187784,100,5,5,0,0,0,1
2711.77421776938,2656.10383819064,550373.666104917,100,5,5,0,0,0,1
4589.28487346692,2522.07732490578,500255.851027365,100,5,5,0,0,0,1
2842.8928996657,2401.7618609329,473705.701754321,100,5,5,0,0,0,1
3012.8487082075,2721.53394185278,605907.865506097,100,5,5,0,0,0,1
2781.74167390553,2268.90119028686,418509.31211012,100,5,5,0,0,0,1
1855.22632034624,2132.2691109338,364489.994893232,100,5,5,0,0,0,1
1965.0289171272,2278.28747586098,415279.5761083,100,5,5,0,0,0,1
2843.65733495195,2587.48615733028,550059.820263141,100,5,5,0,0,0,1
2214.21830084797,2575.7573324963,544588.495840192,100,5,5,0,0,0,1
2017.10390392731,2568.12604091334,538754.301625981,100,5,5,0,0,0,1
2040.68566227232,2483.11405687473,488982.575926127,100,5,5,0,0,0,1
2430.95242384772,2288.09349250544,420332.420945027,100,5,5,0,0,0,1
1445.69742236642,2241.79891010023,413525.357381873,100,5,5,0,0,0,1
2037.3543364007,2552.44878465823,525341.772977678,100,5,5,0,0,0,1
3970.62894631642,2556.9618095642,546912.883966158,100,5,5,0,0,0,1
2171.55697972408,2184.06928565703,373301.724973195,100,5,5,0,0,0,1
1632.27382407828,2463.10050383561,481303.812771847,100,5,5,0,0,0,1
2387.6585491145,2117.65849575912,368384.456097489,100,5,5,0,0,0,1
2606.16955105376,2681.13190916113,591527.213285492,100,5,5,0,0,0,1
3084.15201550503,2109.33373595856,361551.117577461,100,5,5,0,0,0,1
3043.05086470936,2380.6047561174,468759.175490436,100,5,5,0,0,0,1
1918.95806809966,2353.03635060399,428528.408652361,100,5,5,0,0,0,1
2870.90796170224,2538.37341190659,520117.579807153,100,5,5,0,0,0,1
2248.36766514951,2195.16722480283,398292.299869836,100,5,5,0,0,0,1
2887.02891155166,2408.70111162329,445503.81715905,100,5,5,0,0,0,1
2245.03606659848,2590.61480138793,551353.290082809,100,5,5,0,0,0,1
2083.59815406357,2466.29930326226,474412.570333314,100,5,5,0,0,0,1
3957.15770326907,2854.98240088245,645078.660678655,100,5,5,0,0,0,1
4499.44559462897,2598.86185316443,584354.888754606,100,5,5,0,0,0,1
2982.01977763423,2584.18940730039,527361.318901224,100,5,5,0,0,0,1
2164.6394609723,2666.36834157555,576721.557258466,100,5,5,0,0,0,1
1402.08499836762,2334.14632250266,431679.111743848,100,5,5,0,0,0,1
2579.61316727286,2472.78386993909,493098.704633699,100,5,5,0,0,0,1
2796.77937641166,2544.53602188704,515938.912809288,100,5,5,0,0,0,1
1986.73241944595,2284.34938310788,420281.740081429,100,5,5,0,0,0,1
2661.53514943695,2272.78143309521,423923.680013865,100,5,5,0,0,0,1
2914.39741039637,2547.07752879555,539127.78493405,100,5,5,0,0,0,1
2097.84192255314,2351.50058996225,454427.033248718,100,5,5,0,0,0,1
2182.94716621233,2472.41541859571,486887.375604332,100,5,5,0,0,0,1
2226.02833703281,2195.67291577975,369276.115798572,100,5,5,0,0,0,1
2536.94271263048,2577.94931923538,503943.855851131,100,5,5,0,0,0,1
2220.50650469592,2254.42594403828,407142.974424659,100,5,5,0,0,0,1
2724.24293619962,2447.07656323737,474806.317429312,100,5,5,0,0,0,1
2993.64303374658,2696.06237814606,593144.523654839,100,5,5,0,0,0,1
1943.51842503125,2383.20007528666,461688.21940868,100,5,5,0,0,0,1
1994.90167745334,2610.77015766414,552274.761751915,100,5,5,0,0,0,1
2256.06445524038,2313.34306579747,426929.033853582,100,5,5,0,0,0,1
3241.8233053021,2609.103701402,538931.064711994,100,5,5,0,0,0,1
2212.42163706212,2548.16949073655,534067.225577836,100,5,5,0,0,0,1
1639.78829951514,2327.65812342887,435951.592489338,100,5,5,0,0,0,1
2387.64284770677,2164.88527264911,385878.373732996,100,5,5,0,0,0,1
3155.00827420899,2615.29674994472,544253.121366458,100,5,5,0,0,0,1
1249.32977305437,2419.94560246405,487086.647322613,100,5,5,0,0,0,1
2574.46551612334,2574.45440946666,522859.037116535,100,5,5,0,0,0,1
1306.07375685243,2242.52266044529,399392.581070518,100,5,5,0,0,0,1
3155.70819074442,2640.27117218733,580528.940099771,100,5,5,0,0,0,1
1734.23435570141,2609.60825922374,549307.955967085,100,5,5,0,0,0,1
2672.03513162815,2524.44684036152,500165.11356054,100,5,5,0,0,0,1
1961.36706495293,2244.12129619286,390604.251277951,100,5,5,0,0,0,1
2689.75917776624,2249.32801107924,412716.327186784,100,5,5,0,0,0,1
2831.55173226869,2793.92845000156,620123.232161132,100,5,5,0,0,0,1
3864.59027091615,2680.74275760917,603958.06297363,100,5,5,0,0,0,1
2765.67104434031,2457.74692769149,498932.706993567,100,5,5,0,0,0,1
2604.86777543567,2713.82911074965,584868.28128136,100,5,5,0,0,0,1
2236.94738687263,2778.23245955956,619252.895263823,100,5,5,0,0,0,1
1954.01243098277,2610.69543131442,550590.544813558,100,5,5,0,0,0,1
1582.38891847523,2529.66074010883,493449.386305802,100,5,5,0,0,0,1
2123.68619632638,2641.68935981023,567922.454016898,100,5,5,0,0,0,1
2038.59558564912,2459.85796095843,494459.739422288,100,5,5,0,0,0,1
3285.76757070886,2643.0116291861,559311.168266591,100,5,5,0,0,0,1
2209.56222400963,2257.59169228795,420156.143294164,100,5,5,0,0,0,1
2517.77613538993,2599.5632916779,524324.64466574,100,5,5,0,0,0,1
