"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12"
0.232944698702378,0.0577687828148905,0.00175220272455268,500,5,5,0.6,0.6,0
0.0900243291384142,0.0456495304357159,0.000901329369612944,500,5,5,0.6,0.6,0
0.0360551395566285,0.0539250827585665,0.00138435271119596,500,5,5,0.6,0.6,0
0.0921539479486115,0.0509822808529238,0.00119394707998975,500,5,5,0.6,0.6,0
0.0774746502061865,0.0604786622399774,0.00202818492438294,500,5,5,0.6,0.6,0
0.177085233691171,0.046159745289439,0.00090324730452392,500,5,5,0.6,0.6,0
0.0281040414278938,0.0491279901559363,0.00113352610089182,500,5,5,0.6,0.6,0
0.0703125004442922,0.0513701340684725,0.00123925872087846,500,5,5,0.6,0.6,0
0.052086282429956,0.0604473793920146,0.00197569528609475,500,5,5,0.6,0.6,0
0.0210373049093803,0.0479476969202484,0.00114766425462166,500,5,5,0.6,0.6,0
0.0437493747109685,0.0560407072903684,0.00161695758781436,500,5,5,0.6,0.6,0
0.0315936333443558,0.0515438059141058,0.0012186779626312,500,5,5,0.6,0.6,0
0.0245256692423194,0.05515099821565,0.00152091508094377,500,5,5,0.6,0.6,0
0.0677191078829415,0.0530785304737416,0.00142973261429345,500,5,5,0.6,0.6,0
0.131332497796449,0.0465837622976826,0.000945733679708087,500,5,5,0.6,0.6,0
0.0427475063359657,0.0472949362703794,0.00102749511951002,500,5,5,0.6,0.6,0
0.086899040079524,0.0464213778823499,0.000968624785574752,500,5,5,0.6,0.6,0
0.0483791539675106,0.0471995079913422,0.00100139449778051,500,5,5,0.6,0.6,0
0.0480955525362931,0.0552183375254224,0.00159136066160312,500,5,5,0.6,0.6,0
0.0657622556355797,0.0432894579738065,0.000857412743853207,500,5,5,0.6,0.6,0
0.0931831498733203,0.0548076416454281,0.0015583326986102,500,5,5,0.6,0.6,0
0.0887458242661943,0.0478252969103499,0.00109340248679028,500,5,5,0.6,0.6,0
0.0460248691852004,0.0454148153837656,0.000903406792375299,500,5,5,0.6,0.6,0
0.169894013638921,0.0529169461849423,0.00137472445054711,500,5,5,0.6,0.6,0
0.0864393598556525,0.0487042361330631,0.00111790065944143,500,5,5,0.6,0.6,0
0.0459094738271357,0.04978251879158,0.00115216637347767,500,5,5,0.6,0.6,0
0.067762652414739,0.047386974737483,0.00103450762426451,500,5,5,0.6,0.6,0
0.118247911226158,0.0556723697320891,0.00155635420918083,500,5,5,0.6,0.6,0
0.0390841341749175,0.0473134501582703,0.00105004697526384,500,5,5,0.6,0.6,0
0.0751061184435012,0.0423760294131622,0.000748631411593516,500,5,5,0.6,0.6,0
